claim_id;contract_id;customer_id;claim_type;status;open_date;close_date;estimated_amount;paid_amount;event_timestamp
SIN-2026-0001;CTR-000001;CLI-1001;BRIS_DE_GLACE;CLOS;2026-02-10;2026-03-05;450.00;412.00;2026-07-12T08:05:00
SIN-2026-0002;CTR-000001;CLI-1001;COLLISION;OUVERT;2026-06-28;;3200.00;0.00;2026-07-12T08:40:00
SIN-2026-0003;CTR-000002;CLI-1002;DEGAT_DES_EAUX;EN_EXPERTISE;2026-05-15;;5800.00;1500.00;2026-07-12T09:10:00
SIN-2026-0004;CTR-000003;CLI-1003;VOL;CLOS;2025-11-02;2026-01-20;8900.00;8900.00;2026-07-12T09:25:00
SIN-2026-0005;CTR-000006;CLI-1006;COLLISION;SANS_SUITE;2026-03-18;2026-04-02;0.00;0.00;2026-07-12T09:50:00
SIN-2026-0006;CTR-000002;CLI-1002;INCENDIE;OUVERT;2026-07-01;;15000.00;0.00;2026-07-12T10:15:00
SIN-2026-0007;CTR-000004;CLI-1004;HOSPITALISATION;EN_EXPERTISE;2026-06-10;;2400.00;800.00;2026-07-12T10:30:00
SIN-2026-0003;CTR-000002;CLI-1002;DEGAT_DES_EAUX;CLOS;2026-05-15;2026-07-08;5800.00;5350.00;2026-07-12T15:45:00
SIN-2026-0008;CTR-999999;CLI-9999;COLLISION;OUVERT;2026-07-05;;1200.00;0.00;2026-07-12T11:00:00
SIN-2026-0009;CTR-000011;CLI-1011;HOSPITALISATION;OUVERT;2026-07-11;2026-07-01;600.00;0.00;2026-07-12T11:20:00
;CTR-000001;CLI-1001;COLLISION;OUVERT;2026-07-02;;900.00;0.00;2026-07-12T11:35:00
SIN-2026-0010;CTR-000007;CLI-1007;TEMPETE;REOUVERT;2026-01-25;;4100.00;2000.00;2026-07-12T11:50:00
